"SCORE","GUESS","TRUTH","TEXT"
"0.7703571400075279","n","n","Stay High. #mickeymouse #mickey #disney #drawing #draw #graffiti #art #skillz #high #hi #life #gritty… http://t.co/OVHoAkonHZ"
"0.6179962361514403","n","p","Donald is a joy to draw :) #sketch #donald #disney #kingdomhearts #draw #drawing #art #wip http://t.co/XW4BozyQrj"
"0.5991773762077569","n","o","The #buffalo is watching you #disney #disneyworld #magickingdom #wishes #mickeymouse… http://t.co/5EoeFgs4xI"
"0.5817997687434362","n","o","#happyhalloween#disney#zombies#pirate#japan#makeup http://t.co/ZJaMWMWnI6"
"0.5713388940277104","n","p","What's your #favoritefairytaleprincess? #OnceUponATime #OnceWonderland #Disney Mine are #Jasmine #Belle #Ariel #SnowWhite"
"0.5483527336780735","n","o","More East Coast #fantasmic #wdw #dhs #florida #disney http://t.co/vbQjh0VzTV"
"0.5273008556659156","n","o","Hoy tenía el #Woody'sMode #ToyStory #Disney #son #instapic #Happy http://t.co/xK2YVECHlV"
"0.5267176567154189","n","o","Am I the only one who has seen the Mickey's Nutcracker? #disney #mickey #nutcracker #live #musical #play http://t.co/vtpVmGHbsA"
"0.5261349424313857","n","p","Milk & cookies and dumbo ❤ #bigkid #missedthis #disney #cadbury #malk http://t.co/sCVwNETeUQ"
"0.5142050312904649","n","p","These disney songs at campus candy > #cinderella #aladdin #awholenewworld #innerchild #jkOuterBecauseILook12 ☺️👌"
"0.5011808358524934","n","o","I've never seen a human this close before. Oh... he's very handsome, isn't he? #LittleMermaid #Disney #Ariel"
"0.497765755803829","n","o","Finished product. #mickey #disney #pumpkin #family http://t.co/tnfRA1oqFf"
"0.4936319509041913","n","o","Parent Trap was right, Oreos and peanut butter are the bomb #amazing #supersnack #disney #throwbacktuesday"
"0.49267706505085745","n","o","I just entered to win a #LeSportSac #ItsASmallWorld bag from http://t.co/FRcZLOjmbn! #contest #win #disney http://t.co/fGc4SQYR3l"
"0.4894013180786297","n","o","#Ratatouille 🐭 BY ME ✏️😁 #art #pixar #drawing #París #Disney #instavideo @ Saltdean http://t.co/b01cVfnHwD"
"0.48421603087720827","n","p","My Disney Blu-ray collection continues to grow! #disney #bluray #movies #monsters #university #return… http://t.co/MFAhzmGmb0"
"0.4840113274689928","n","p","#rafiki #lionking #disney #bitchdontkillmyvibe Lol love this. There is no one out there that could… http://t.co/G1tAb4wWgU"
"0.483219491957155","n","p","My Babysitter is a Vampire <3 #Love #Disney #NeverTooOld #Perfection #Popcorn #TuesdayNightMovie"
"0.47129503081075874","n","o","#Shopping #Sewing #5: Crayola Color Wonder Disney Preschool Coloring Pad: Crayola Color Wonder ... http://t.co/gn7hvftZBs #Arts #Crafts"
"0.470168053626517","n","p","Who wishes they were eating a #wildernesslodge #wildernesssalad right now? #disney… http://t.co/MmtASOtzgF"
"0.4635340209179496","n","o","Mi sueño era ir a disney, cosa que ya lo hice :D haora mi sueño es ir a Europa :D #España #francia #Italia #Londres :D"
"0.4611524197316742","n","n","Our boyfriends are better than these princes, but maybe not as animated ;) http://t.co/joqzK8aCG8 #disney #princess #love #cosmo"
